topic,article_label,short_label_article,broader_theme,rationale
1,"Phylogenomics, taxonomy and evolutionary relationships","Phylogenomics/taxonomy","Evolutionary relationships and taxonomy","FREX terms and top documents emphasize clades, taxonomy, phylogeny, divergence, comparative evolutionary relationships and broad phylogenomic syntheses."
2,"Symbiotic bacteria and probiotics","Symbiotic bacteria/probiotics","Microbiome and symbiosis","Terms such as lactic acid bacteria, probiotic, bacteria, Lactobacillus, isolates, strain, fungus and yeast indicate microbial symbiont and probiotic studies associated with honey, bee bread and nest products."
3,"Viral pathogens, floral resources and metabarcoding","Pathogens/metabarcoding","Disease ecology and environmental DNA","Top documents and terms include DWV, BQCV, virus, viral, pathogen spillover, pollen, plants, floral resources and metabarcoding, indicating pathogen detection and environmental/community DNA surveys."
4,"Mitogenomics and mitochondrial genome evolution","Mitogenomics","Genome architecture and comparative genomics","Terms such as mitogenome, mitochondrial genome, complete genome, rearrangement, PCGs, tRNA, heteroplasmy and codon identify complete mitogenome and mitochondrial genome-architecture studies."
5,"Cytogenetics, karyotypes and chromosome architecture","Cytogenetics/karyotypes","Cytogenetics and cytogenomics","Terms including chromosome, heterochromatin, karyotype, cytogenetic, FISH, fluorochrome, C-banding and repetitive DNA define cytogenetic and chromosome-architecture studies."
6,"mtDNA/COI marker assays and DNA barcoding","mtDNA/COI markers","Marker assays, barcoding and molecular identification","Terms such as NUMTs, restriction, COI, cytochrome oxidase, ITS, barcoding, PCR, fragment length and mtDNA indicate Sanger-era marker assays, RFLP and molecular identification."
7,"Population genetics, microsatellites and morphometrics","Population genetics","Population structure and phenotypic differentiation","Terms and top documents emphasize population structure, microsatellites, ISSR, genetic diversity, gene flow, differentiation, heterozygosity and geometric morphometrics."
8,"Gene expression, caste differentiation and reproductive genetics","Expression/caste","Functional and reproductive genomics","Terms such as expression, transcriptome, queens, workers, caste, juvenile hormone, sex determination, diploid males and reproductive development indicate functional and reproductive genetics."
9,"Gut microbiome, detoxification and exposure responses","Microbiome/exposure","Microbiome and environmental stress","Terms including gut, microbiota, microbiome, bacterial, microbial, sublethal exposure, Malpighian tubules, pesticide and detoxification identify gut microbial studies and molecular responses to exposure."
10,"Allozyme, RAPD and enzyme polymorphism markers","Allozyme/RAPD markers","Classical marker-based genetics","Terms such as isoenzymes, allozymes, electrophoresis, dehydrogenase, esterases, RAPD, polymorphism and enzyme variants indicate classical biochemical and early molecular marker studies."
